Especie,Volumen_m3,Diametro_normal_cm,Altura_m,Diametro_Copa_m
Pinus durangensis,0.03538783,9,10.5,2.3
Pinus durangensis,0.203610862,18.5,15,2.9
Pinus durangensis,0.653193026,27.2,23,3.4
Pinus durangensis,0.05330945,9.8,13.5,3.1
Pinus durangensis,0.048198129,10.7,10.2,2.4
Pinus durangensis,0.274082953,21.2,15.5,4.9
Pinus durangensis,0.054411681,11.5,10,2.2
Pinus durangensis,0.159219327,18,12.3,2.3
Pinus durangensis,0.014844344,13.5,1.9,4.2
Pinus durangensis,0.042222194,9.5,11.3,2.9
Pinus durangensis,0.038641391,9.2,11,1.6
Pinus durangensis,0.831172969,33,20,6.3
Pinus durangensis,0.062403661,12.4,9.9,0.8
Pinus durangensis,0.044858676,9.8,11.3,2.1
Pinus durangensis,0.041691238,10.4,9.3,3.4
Pinus durangensis,0.039845925,8.6,13,1.7
Pinus durangensis,0.040282944,9,12,2.3
Pinus durangensis,0.025789174,8,9.6,2.2
Pinus durangensis,0.054672508,10.8,11.4,2.4
Pinus durangensis,0.175522143,18,13.6,2.4
Pinus durangensis,0.236253954,21.2,13.3,4.7
Pinus durangensis,0.169273885,18.5,12.4,2.7
Pinus durangensis,0.222312889,18.8,15.9,3.7
Pinus durangensis,0.050917797,9.4,14,2.3
Pinus durangensis,0.04849005,9.2,13.9,2.1
Pinus durangensis,0.070210607,12.5,11,3.9
Pinus durangensis,0.087124878,13,12.7,2.8
Pinus durangensis,0.176013289,17.4,14.6,4.9
Pinus durangensis,0.427888658,21.3,24.3,3.2
Pinus durangensis,0.059852483,10.4,13.5,2.7
Pinus durangensis,0.048444758,11,9.7,2.7
Pinus durangensis,0.061681289,11.2,12,1.7
Pinus durangensis,0.33731755,23,16.3,4.1
Pinus durangensis,0.759855286,30.4,21.5,6.6
Pinus durangensis,0.271292601,20.2,16.9,3.5
Pinus durangensis,0.179089468,17.8,14.2,4.2
Pinus durangensis,0.360552194,23.8,16.3,5.2
Pinus durangensis,0.039832585,10,9.6,2.6
Pinus durangensis,0.38873004,22.8,19.2,3.6
Pinus durangensis,0.058998302,11.7,10.5,2.7
Pinus durangensis,0.067900786,12.4,10.8,2.4
Pinus durangensis,0.076139393,11.9,13.2,3.1
Pinus durangensis,0.177858066,18.9,12.5,3.6
Pinus durangensis,0.052583315,11.3,10,1.9
Pinus durangensis,0.043467017,10.8,9,4.4
Pinus durangensis,0.111799742,15.8,11.1,4.2
Pinus durangensis,0.180807152,16.7,16.3,2.5
Pinus durangensis,0.029608763,8.5,9.8,1.2
Pinus durangensis,0.564221308,26.4,21,4.3
Pinus durangensis,0.992014012,33,24,9.2
Pinus durangensis,0.045850283,11.1,9,1.5
Pinus durangensis,0.107300609,15.2,11.5,3.5
Pinus durangensis,0.056687684,11.2,11,2.3
Pinus durangensis,0.107537434,13.7,14.2,2.6
Pinus durangensis,0.16943729,20.4,10.2,2.1
Pinus durangensis,0.131691267,16.6,11.9,6.2
Pinus durangensis,0.05226862,10.6,11.3,2.2
Pinus durangensis,0.357561245,24.7,15,5.5
Pinus durangensis,0.035748322,8.8,11.1,3.2
Pinus durangensis,0.060712627,10.4,13.7,3.2
Pinus durangensis,0.144244887,15.5,15,2.7
Pinus durangensis,0.180690267,17.4,15,3.4
Pinus durangensis,0.027240692,8.9,8.2,2.4
Pinus durangensis,0.212167567,17.4,17.7,3.2
Pinus durangensis,0.049867817,9.3,14,1.6
Pinus durangensis,0.035228251,9.2,10,3.1
Pinus durangensis,0.342609566,23.4,16,5
Pinus durangensis,0.196504481,21.2,11,4.8
Pinus durangensis,0.406467764,23.7,18.6,3.9
Pinus durangensis,0.083856225,12.9,12.4,3.1
Pinus durangensis,0.073633156,13.3,10.2,3.3
Pinus durangensis,0.116638327,15.1,12.7,2.6
Pinus durangensis,0.269625401,17.5,22.4,4.6
Pinus durangensis,0.134187955,20.3,8.1,5.3
Pinus durangensis,0.030937077,8.4,10.5,2.5
Pinus durangensis,0.145022365,15.7,14.7,3.4
Pinus durangensis,0.032113002,9,9.5,2.2
Pinus durangensis,0.061959736,11,12.5,2.2
Pinus durangensis,0.243765951,21,14,7.6
Pinus durangensis,0.039682057,9.5,10.6,2.3
Pinus durangensis,0.493898037,27,17.5,5.9
Pinus durangensis,0.098856423,14.9,11,3.9
Pinus durangensis,0.173502013,18.3,13,2.7
Pinus durangensis,0.03312035,8.5,11,2.4
Pinus durangensis,0.039734197,8.9,12.1,2.2
Pinus durangensis,0.115439072,15.2,12.4,4.1
Pinus durangensis,0.066307791,11.3,12.7,2.2
Pinus durangensis,0.053614487,10.6,11.6,3.2
Pinus durangensis,0.079808288,12.1,13.4,4.2
Pinus durangensis,0.261554058,18.8,18.8,2.6
Pinus durangensis,0.219322618,17.6,17.9,5.1
Pinus durangensis,0.032395701,9.5,8.6,2.4
Pinus durangensis,0.041496931,9.5,11.1,2.1
Pinus durangensis,0.051392676,9.8,13,2.7
Pinus durangensis,0.017928735,8,6.6,2.9
Pinus durangensis,0.117304284,14.8,13.3,5.1
Pinus durangensis,0.204991607,17,17.9,5
Pinus durangensis,0.267403921,20.8,15.7,7.2
Pinus durangensis,0.605610809,25.1,25,3.1
Pinus durangensis,1.161764769,34,26.6,5.6
Pinus durangensis,0.052393331,10.3,12,2.6
Pinus durangensis,0.059165876,10.7,12.6,2.5
Pinus durangensis,0.279186726,21.9,14.8,3.6
Pinus durangensis,0.049499362,10.4,11.1,3.3
Pinus durangensis,0.024753624,8.8,7.6,2.6
Pinus durangensis,0.331067102,24.4,14.2,2.5
Pinus durangensis,0.041005461,9.4,11.2,1.9
Pinus durangensis,0.02577734,8.4,8.7,1.8
Pinus durangensis,0.086193726,11.9,15,1.8
Pinus durangensis,0.053283354,11,10.7,2.1
Pinus durangensis,0.122435433,14.8,13.9,3.8
Pinus durangensis,0.152935634,18,11.8,3.6
Pinus durangensis,0.042545777,9.8,10.7,3.4
